Name;Hex (RGB);Red (RGB);Green (RGB);Blue (RGB);Hue (HSL/HSV);Satur. (HSL);Light (HSL);Satur. (HSV);Value (HSV);Image Base64
Orange;#FF7F00;100%;50%;0%;30°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QQQ3AIADAQMA40sHC+iJL7hQ0nWcPPlqvA/7ErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzgAnN6AeLfMe8QAAAAAElFTkSuQmCC
Orange (Crayola);#FF7538;100%;46%;22%;18°;100%;61%;78%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEDVjKGfWVhfZMmdgqbz7Gfwzbod8CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUvA9cCELVnpd0AAAAASUVORK5CYII=
Orange (Pantone);#FF5800;100%;35%;0%;21°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMAl/oWAhfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQW5QwG8zWKUZAAAAABJRU5ErkJggg==
Orange (web);#FFA500;100%;65%;0%;39°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/DXSChfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQUtsQIILs697gAAAABJRU5ErkJggg==
Orange peel;#FF9F00;100%;62%;0%;37°;100%;50%;100%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/BqyChfVFltwpaDrPHny0Xgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQWSGwIBj30jVwAAAABJRU5ErkJggg==
Orange-red;#FF681F;100%;41%;12%;20°;100%;56%;88%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDI9OHfALOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXg7yAenr18yVAAAAAElFTkSuQmCC
Orange-red (Crayola);#FF5349;100%;33%;29%;4°;100%;64%;71%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDd/vi3wiysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF1cKAgDGaycmAAAAAElFTkSuQmCC
Orange soda;#FA5B3D;98%;36%;24%;10°;95%;61%;76%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMDXlOBfBL9ZWF9kyZ2CpvPsZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/QSwH1KjWcmQAAAABJRU5ErkJggg==
Orange-yellow;#F5BD1F;96%;74%;12%;44°;92%;54%;87%;96%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDI/ItAFgJmYX2RJXcKms6zn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbzS3wIyKRZ1wQAAAABJRU5ErkJggg==
Orange-yellow (Crayola);#F8D568;97%;84%;41%;45°;91%;69%;58%;97%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDtFGOF7yysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF3p4AplU4zMCAAAAAElFTkSuQmCC
Orchid;#DA70D6;85%;44%;84%;302°;59%;65%;49%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDx1BLkzML6IkvuFDSd59mDb9btgD8xKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCt4ATGoAoLfcYH6AAAAAElFTkSuQmCC
Orchid pink;#F2BDCD;95%;74%;80%;342°;67%;85%;22%;95%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/pElADQpmYX2RJXcKms7z7ME363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbxS5wLeLP/z7gAAAABJRU5ErkJggg==
Orchid (Crayola);#E29CD2;89%;61%;82%;314°;55%;75%;31%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/g6nCAkpmYX2RJXcKms7z7ME363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbw33AKy6WPY6AAAAABJRU5ErkJggg==
Outer space (Crayola);#2D383A;18%;22%;23%;189°;13%;20%;22%;23%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QwQnAIADAQHWf/sX9B+sKzUsKdxOEzGefwTfrdsCfmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVvDs5AQPkWpcBAAAAAElFTkSuQmCC
Outrageous Orange;#FF6E4A;100%;43%;29%;12°;100%;65%;71%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDdxOD/ySysL7LkTkHTefYz+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCFxTsAhkfgbdIAAAAAElFTkSuQmCC
Oxblood;#4A0000;29%;0%;0%;0°;100%;15%;100%;29%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAg0lEQVR4nO3QQQkAIADAQLWd/QtZwb1EuEswNvfg1nod8BOzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCs4IDezMArW0/pE8AAAAASUVORK5CYII=
Oxford blue;#002147;0%;13%;28%;212°;100%;14%;100%;28%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQJgT1ODfERbWFyG5U9B0jrUH/3y3A15iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAJlEAMwknKFRAAAAAElFTkSuQmCC
OU Crimson red;#841617;52%;9%;9%;360°;71%;30%;83%;52%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQEAEihGOhfVFltwpaDrP3oNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7gjOAEUCuPe1gAAAABJRU5ErkJggg==
Pacific blue;#1CA9C9;11%;66%;79%;191°;76%;45%;86%;79%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDH/AcruJqF9UWW3CloOp99Bt+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8ALjswHxo05g8AAAAABJRU5ErkJggg==
Pakistan green;#006600;0%;40%;0%;120°;100%;20%;100%;40%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhElEQVR4nO3QQQkAIADAQDWs/SNYwb1EuEswNsceXFqvA35iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwACP7AMr+j1szAAAAAElFTkSuQmCC
Palatinate purple;#682860;41%;16%;38%;308°;44%;28%;62%;41%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDNZPHEv4JZWF9kyZ2CpvM8e/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS/VpAFUNbnlIAAAAABJRU5ErkJggg==
Pale aqua;#BED3E5;75%;83%;90%;208°;43%;84%;17%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/p4lAAz5mYX2RJXcKms5nn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbyiNALbK//ElwAAAABJRU5ErkJggg==
Pale cerulean;#9BC4E2;61%;77%;89%;205°;55%;75%;31%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/g9lBCUpmYX2RJXcKms5nn8E363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbw7LwKlwomROgAAAABJRU5ErkJggg==
Pale Dogwood;#ED7A9B;93%;48%;61%;334°;76%;70%;48%;92%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQED2rKARD7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXsOvAmYvmPklAAAAAElFTkSuQmCC
Pale pink;#FADADD;98%;85%;87%;354°;76%;92%;13%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QsQ3AIADAMOD/A7twCFtfaCZUyb4gyjzPHnyzbgf8iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwQtEMQMSnk4eGAAAAABJRU5ErkJggg==
Pale purple (Pantone);#FAE6FA;98%;90%;98%;300°;67%;94%;8%;98%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQMC/zYnghwX6IkvuFDSd+9uDO+t1wJ+YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBUcrqQDO7zvySMAAAAASUVORK5CYII=
Pale spring bud;#ECEBBD;93%;92%;74%;59°;55%;83%;20%;93%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/pCkiwcMsrC+y5E5B03n2M/hm3Q74E7MCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzghcQ1AL32EmrSQAAAABJRU5ErkJggg==
Pansy purple;#78184A;47%;9%;29%;329°;67%;28%;80%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDEPKEI+7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXt0gATpofDoWAAAAAElFTkSuQmCC
Paolo Veronese green;#009B7D;0%;61%;49%;168°;100%;30%;100%;61%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQJhunGAWC+uLkNwpaDrHXoN/vtsBLzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzjKHwF7z3DOhQAAAABJRU5ErkJggg==
Papaya whip;#FFEFD5;100%;94%;84%;37°;100%;92%;16%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/vtlAArOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlG5Ayjv3sK4AAAAAElFTkSuQmCC
Paradise pink;#E63E62;90%;24%;38%;347°;77%;57%;73%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDXvGAeH7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXl4vAebXBAuAAAAAAElFTkSuQmCC
Parchment;#F1E9D2;95%;91%;82%;45°;53%;88%;13%;95%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/ubngjYJZWF9kyZ2CpvPsZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS+TzwMPj9Qt2wAAAABJRU5ErkJggg==
Paris Green;#50C878;31%;78%;47%;140°;52%;55%;60%;78%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDg5OAQXbOwvsiSOwVN53P24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXqlwAfAg6r1rAAAAAElFTkSuQmCC
Pastel pink;#DEA5A4;87%;65%;64%;1°;47%;76%;26%;87%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/iwVZeJmF9UWW3CloOs9+Bt+s2wF/YlZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBW8ALNZwKJQw4DBQAAAABJRU5ErkJggg==
Patriarch;#800080;50%;0%;50%;300°;100%;25%;100%;50%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAg0lEQVR4nO3QQQkAIADAQLW41a3gXiLcJRibe+zBnfU64CdmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgUHDMgBYi4V8AMAAAAASUVORK5CYII=
Paua;#1F005E;12%;0%;37%;260°;100%;18%;100%;37%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQJgQpOFfBhbWFyG5U9B0rrEH/3y3A15iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwADE2AOAnN5bhAAAAAElFTkSuQmCC
Payne's grey;#536878;33%;41%;47%;206°;18%;40%;31%;47%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDjROAA+7OwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXjjBAZeaVa/mAAAAAElFTkSuQmCC
Peach;#FFE5B4;100%;90%;71%;39°;100%;85%;29%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/nUlCB7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXnGsAv2QtlJhAAAAAElFTkSuQmCC
Peach (Crayola);#FFCBA4;100%;80%;64%;26°;100%;82%;36%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/i9nBE7OwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXpGQAtJpRjOvAAAAAElFTkSuQmCC
Peach puff;#FFDAB9;100%;85%;73%;28°;100%;86%;27%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMC/oinBDbOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXptJAvVKi2LEAAAAAElFTkSuQmCC
Pear;#D1E231;82%;89%;19%;66°;75%;54%;78%;89%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQEDR/LvAAkpmYX2RJXcKms59nsE363bAn5gVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFbylXQJH5QS9YgAAAABJRU5ErkJggg==
Pearly purple;#B768A2;72%;41%;64%;316°;35%;56%;43%;72%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDtfCECe7OwvsiSOwVN53n24Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXhCfAiZaOUGYAAAAAElFTkSuQmCC
Periwinkle;#CCCCFF;80%;80%;100%;240°;100%;90%;20%;100%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhUlEQVR4nO3QQQ3AIADAQMC/NDyBhfVFltwpaDr3PoNv1uuAPzErMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswK7j7kAL7f+iipwAAAABJRU5ErkJggg==
Periwinkle (Crayola);#C3CDE6;76%;80%;90%;223°;41%;83%;15%;90%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAiElEQVR4nO3QQQ3AIADAQMC/qf2xgY9ZWF9kyZ2CpvPZZ/DNuh3wJ2YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBS98PwLWTuWLdgAAAABJRU5ErkJggg==
Permanent Geranium Lake;#E12C2C;88%;17%;17%;0°;75%;53%;80%;88%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMAO/v0gBQvriyy5U9B0nr0H36zXAX9iVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZwAenxAZriHfniAAAAAElFTkSuQmCC
Persian blue;#1C39BB;11%;22%;73%;229°;74%;42%;85%;73%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQEDHhKAddbOwvsiSOwVN57PP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXrjXAXJnugFFAAAAAElFTkSuQmCC
Persian green;#00A693;0%;65%;58%;173°;100%;33%;100%;65%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQJj/HxrwiYX1RUjuFDSdY6/BP9/tgJeYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBUcXkgBnK5xl6MAAAAASUVORK5CYII=
Persian indigo;#32127A;20%;7%;48%;258°;74%;27%;85%;48%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDBtOAO9bOwvsiSOwVN537O4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXlmgASJ4Y7tIAAAAAElFTkSuQmCC
Persian orange;#D99058;85%;56%;35%;26°;63%;60%;59%;85%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMDlTKEPObOwvsiSOwVN59nP4Jt1O+BPzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKXmCjAiPpryoeAAAAAElFTkSuQmCC
Persian pink;#F77FBE;97%;50%;75%;329°;88%;73%;49%;97%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAh0lEQVR4nO3QQQ3AIADAQMD4pCGL7yysL7LkTkHTeZ49+GbdDvgTswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArMCswKzArOCF3ohApm9Ky5fAAAAAElFTkSuQmCC
Persian plum;#701C1C;44%;11%;11%;0°;60%;27%;75%;44%;iVBORw0KGgoAAAANSUhEUgAAAGQAAAAyCAIAAAAlV+npAAAAhklEQVR4nO3QQQ3AIADAQEAHIvH/wsL6IkvuFDSdZ+/BN+t1wJ+YFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBWYFZgVmBVcTMABDMcrieMAAAAASUVORK5CYII=
